class1name,class1id,class2name,class2id,is_subclass
accessory,0,accessory,0,1
accessory,0,adsign,1,0
accessory,0,adsignobject,2,0
accessory,0,anomaly,3,0
accessory,0,asteroid,4,0
accessory,0,attachment,5,0
accessory,0,bomb,6,0
accessory,0,bomblauncher,7,0
accessory,0,buildstorage,8,0
accessory,0,buildmodule,9,0
accessory,0,buildprocessor,10,0
accessory,0,bullet,11,0
accessory,0,cargobay,12,0
accessory,0,celestialbody,13,0
accessory,0,checkpoint,14,0
accessory,0,cluster,15,0
accessory,0,cockpit,16,0
accessory,0,collectableshieldrestore,17,0
accessory,0,collectableammo,18,0
accessory,0,collectableblueprints,19,0
accessory,0,collectablewares,20,0
accessory,0,component,21,1
accessory,0,computer,22,0
accessory,0,connectionmodule,23,0
accessory,0,controlroom,24,0
accessory,0,countermeasure,25,0
accessory,0,crate,26,0
accessory,0,crate_l,27,0
accessory,0,crate_m,28,0
accessory,0,crate_s,29,0
accessory,0,crystal,30,0
accessory,0,cutsceneanchor,31,0
accessory,0,datavault,32,0
accessory,0,defencemodule,33,0
accessory,0,defensible,34,0
accessory,0,destructible,35,0
accessory,0,detector,36,0
accessory,0,dismantleprocessor,37,0
accessory,0,dockarea,38,0
accessory,0,dockingbay,39,0
accessory,0,drop,40,0
accessory,0,effectobject,41,0
accessory,0,engine,42,0
accessory,0,entity,43,0
accessory,0,forceemitter,44,0
accessory,0,fogvolume,45,0
accessory,0,galaxy,46,0
accessory,0,gate,47,0
accessory,0,habitation,48,0
accessory,0,hackerprobe,49,0
accessory,0,highway,50,0
accessory,0,highwayblocker,51,0
accessory,0,highwaybooster,52,0
accessory,0,highwayentrygate,53,0
accessory,0,highwayexitgate,54,0
accessory,0,highwayscene,55,0
accessory,0,highwaytrigger,56,0
accessory,0,holomap,57,0
accessory,0,influenceobject,58,0
accessory,0,landmarkobject,59,0
accessory,0,lensflare,60,0
accessory,0,lock,61,0
accessory,0,lockbox,62,0
accessory,0,mine,63,0
accessory,0,miningnode,64,0
accessory,0,missile,65,0
accessory,0,missilelauncher,66,0
accessory,0,missileturret,67,0
accessory,0,moon,68,0
accessory,0,navbeacon,69,0
accessory,0,navcontext,70,0
accessory,0,npc,71,0
accessory,0,object,72,0
accessory,0,pier,73,0
accessory,0,planet,74,0
accessory,0,player,75,0
accessory,0,positional,76,1
accessory,0,processingmodule,77,0
accessory,0,production,78,0
accessory,0,radar,79,0
accessory,0,recyclable,80,0
